Repo Name,Is Source?
mirkosimoni/Progetto-programmazione-avanzata,False
RachData/JsonCsvProjet,False
giuspo8/JobWorldAdvanceProgramming,False
Awohaomei/sdkxc2016,False
sbansa1/blog-service,False
Efficeon/JavaStudent,False
drothauser/rothsmith-common,False
VeraTsvetkova/Test3,False
Angorance/HEIGVD_MoneyThoring,False
taysan003/MyJavaProjects,False
palocziarpad/oldprojects,False
sbansa1/bank-service,False
apache/servicemix4-legal,True
everttigchelaar/camel-svn,False
kingargyle/turmeric-bot,False
gertv/servicemix-sandbox,False
apache/servicemix-utils,False
apache/servicemix4-nmr,False
apache/servicemix-components,False
apache/servicemix4-specs,False
apache/servicemix-maven-plugins,False
apache/servicemix4-kernel,False
apache/servicemix4-bundles,False
jboss-fuse/jasypt,False
jboss-fuse/jasypt-spring31,False
jkmishra/prizy,False
cash2one/SVN_BackUp_Test_Lev,False
abcdefghiklk/SeekChanges,False
xwh123807/research,False
apache/servicemix-bundles,False
kravinderreddy/camel_splunk,False
vejandlakrishna/Camel,False
h2000/servicemix-bundles,False
mffrench/neo4j-osgi-pkgr,False
TSJPoldShp/camel,False
haymant/camel,False
DjSystemBPM/Camel,False
apache/camel,False
HydAu/Camel,False
conradperes/https-github.com-apache-camel,False
cttestid41/Apache_Camel,False
sushantchoudhari/cameel,False
neowal1/neowal1,False
FORKS-JC/camel,False
chicagozer/rheosoft,False
apache/servicemix-specs,False
alessandrosole/CAMEL_Java_Course_2017,False
apache/servicemix-utils,True
digiBlitz-Foundation/ELMT,False
digiblitz/ELMT,False
gertv/servicemix-sandbox,False
apache/servicemix4-nmr,False
apache/servicemix-components,False
zbeothy/eclipse-swordfish,False
apache/servicemix4-features,False
apache/servicemix-archetypes,False
apache/servicemix3,False
heathkesler/aero,False
varunrenusagar/smx1,False
zingzheng/ODE,False
yyunbin/wso2carbon4.1.0,False
varunrenusagar/smx,False
vandut/magisterka,False
qynnine/ode-qyn,False
Harlampov/smx-fuse,False
wso2/wso2-ode,False
revolutionarysystems/servicemix,False
themindfuldev/puc-dp,False
alexeev/jboss-fuse-mirror,False
varunrenusagar/smx3,False
nikosd23/store-implementation,False
healtw/test,False
polyu-lsgi-xiaofei/bpelcube,False
visionwang/RawData,False
TheRingbearer/HAWKS,False
dearcode2018/framework,False
LStampf/aic-smx,False
jboss-fuse/fabric8,False
apache/geronimo-genesis,True
stuhood/cassandra-old,False
pquerna/cassandra,False
WeilerWebServices/Apache,False
apache/activemq-apollo,False
kingargyle/turmeric-bot,False
apache/geronimo-devtools,False
everttigchelaar/camel-svn,False
jinsu/cass-fate,False
lvasselt/cassandra-shawn,False
sammyyu/Cassandra,False
apache/activemq-activeio,False
aguynamedben/cassandra-counters,False
kuozhang/customized-gep,False
chirino/activemq-apollo,False
shouhei71/grad-c-source,False
dejanb/scomp,False
chirino/hawtbuf,False
mariusae/cassandra,False
apache/activemq-protobuf,False
schildmeijer/cassandra,False
b/project-cassandra,False
ucare-uchicago/cass-fate-system,False
transon/cassandra-shawn,False
gui-rangel/activemq-apollo,False
christian-posta/activemq-apollo-java-port,False
apache/juddi-scout,False
pallavij/PCheck,False
danlentz/cassandra,False
odnoklassniki/apache-cassandra,False
chicagozer/rheosoft,False
apache/geronimo,True
apache/openjpa-site,False
awajid/daytrader,False
jdonofrio728/daytrader,False
meetdestiny/daytrader,False
funemy/echo-benchmark,False
siamaksade/daytrader,False
Slania/daytrader2.2,False
jaxzin/daytrader,False
Slania/daytrader,False
gvijayar/daytrader,False
fenwk0/DayTrader,False
m-p-manish/secret-ironman,False
jamesfalkner/jboss-daytrader,False
apache/aries,True
PothGHC/ci.maven,False
lostiniceland/issues,False
snambi/sample-osgi-bundles,False
apache/aries,False
OpenLiberty/ci.maven,False
apache/geronimo,False
chandanpatro/billdesk1.7test,False
vartikacs2018/mavenapp,False
NetsOSS/nets-oss-parent,False
robert0714/enterpriseOSGIinActionSample,False
MehrCurry/SolarMon,False
OpenLiberty/ci.ant,False
xxshutong/textile,False
EdwardOst/demo-template,False
deepak28290/hackathon2013,False
amitjoy/other-java,False
luochen01/cache-engine,False
rbieniek/flow-ninja,False
managecatgeronimo/geronimonext,False
apache/mina-sshd,True
rohankumardubey/nifi-minifi-cpp,False
luxingxiao/activiti-api-example,False
kebojianying/TelegramBot,False
karlnewell/anx,False
cisco-ie/anx,False
mlasevich/jenkins-spock-test,False
achristianson/nifi-minifi-cpp-ds,False
achristianson/nifi-minifi-cpp-experimental,False
apache/nifi-minifi-cpp,False
waters321/canal-manager,False
LazarevSS/sftp-client,False
lq186/java-demos,False
cyberflohr/DrillRig,False
hppcoin/hppcore,False
zbb93/sftp,False
Shasthojoy/couchdrop,False
roloreaper/ftp-mock,False
davido/ostrovsky,False
TsvetanG/cd-java-sdk-1-1,False
dmamonov/hilo,False
mjureczko/ssh-simulator,False
JetBrains/teamcity-deployer-plugin,False
yroffin/jbehaviour-tools,False
michaelcouck/i-discover,False
TsvetanG/cd-java-sdk-1-2,False
frkr/ssh-override,False
yystju/sshtest,False
kamir/OpenTSx,False
apache/hama,True
SCAlabUnical/BigDataAnalysisExamples,False
xiazemin/hama,False
